PHASE	TESS
if	if
I	I
spoke	spoke
of	of
his	his
fond	fond
feelings	feelings
and	and
what	what
they	they
might	might
lead	lead
to	to
you	you
would	would
be	be
hontish	hontish
wi’	wi
him	him
and	and
lose	lose
your	your
chance’	chance
she	she
murmured	murmured
wiping	wiping
her	her
eyes	eyes
with	with
her	her
apron	apron
‘Well	Well
we	we
must	must
make	make
the	the
best	best
of	of
it	it
appease	I
’Tis	suppose
hater	Tis
null	nater
after	after
all	all
and	and
what	what
do	do
please	please
1	God
XIII	XIII
THE	The
event	event
of	of
Tess	Tess
Durbeyﬁeld’s	Durbeyfields
return	return
from	from
the	the
manor	manor
of	of
her	her
bogus	bogus
kinsfolk	kinsfolk
was	was
rumoured	rumoured
abroad	abroad
if	if
rummirbenottoolargeawordforaspaeeofasquare	rumour
null	be
null	not
null	too
null	large
null	a
null	word
null	for
null	a
null	space
null	of
null	a
null	square
mile	mile
In	In
the	the
afternoon	afternoon
several	several
young	young
girls	girls
of	of
Marlott	Marlott
former	former
schoolfellows	schoolfellows
and	and
acquaintances	acquaintances
of	of
Tess	Tess
calledtoseeheranivingdressedintheirbeststarched	called
andironedasbemmevisitoistoapetsonwhohad	to
null	see
null	her
null	arriving
null	dressed
null	in
null	their
null	best
null	starched
null	and
null	ironed
null	as
null	became
null	visitors
null	to
null	a
null	person
null	who
null	had
made	made
a	a
transcendent	transcendent
conquest	conquest
as	as
they	they
supposed	supposed
and	and
satroundtheroomlookingatherwithgreatcmiosity	sat
null	round
null	the
null	room
null	looking
null	at
null	her
null	with
null	great
null	curiosity
For	For
the	the
fact	fact
that	that
it	it
was	was
this	this
said	said
thirtyﬁrst	thirtyfirst
cousin	cousin
Mr	Mr
d’Urberville	dUrberville
who	who
had	had
fallen	fallen
in	in
love	love
with	with
her	her
a	a
gentleman	gentleman
not	not
altogether	altogether
local	local
whose	whose
reputationasarecklessgallantandheart—breakerwasbeginning	reputation
null	as
null	a
null	reckless
null	gallant
null	and
null	heartbreaker
null	was
null	beginning
to	to
spread	spread
beyond	beyond
the	the
immediate	immediate
boundaries	boundaries
of	of
Trantridge	Trantridge
lent	lent
Tess’s	Tesss
supposed	supposed
position	position
by	by
its	its
fearsomeness	fearsomeness
a	a
far	far
higher	higher
fasdnation	fascination
than	that
it	it
would	would
have	have
exercised	exercised
if	if
unhazardous	unhazardous
Their	Their
interest	interest
was	was
so	so
deep	deep
that	that
the	the
younger	younger
ones	ones
whispered	whispered
when	when
her	her
back	back
was	was
turned——	turned
‘How	How
pretty	pretty
she	she
is	is
and	and
how	how
that	that
best	best
frock	frock
do	do
set	set
her	her
oﬁl	off
I	I
believe	believe
it	it
cost	cost
an	an
immense	immense
deal	deal
and	and
thatitwasagiftfromhim’	that
Tees	it
null	was
null	a
null	gift
null	from
null	him
null	Tess
who	who
was	was
reaching	reaching
up	up
to	to
get	get
the	the
teathings	teathings
from	from
the	the
corner	cornercupboard
cupboard	null
did	did
not	not
hear	hear
these	these
commentaries	commentaries
If	If
she	she
had	had
heard	heard
them	them
she	she
might	might
soon	soon
have	have
set	set
her	her
friends	friends
right	right
on	on
the	the
matter	matter
But	But
her	her
mother	mother
heard	heard
and	and
Joans	Joans
simple	simple
vanity	vanity
having	having
been	been
deniedthehopeofadashingmaniagefeditselfas	denied
Wellasit	the
eouldupon	hope
the	of
sensationofadashingﬂirtation	a
Upon	dashing
the	marriage
whole	fed
she	itself
felt	as
gratiﬁed	well
even	as
though	it
such	could
null	upon
null	the
null	sensation
null	of
a	a
limited	dashing
and	flirtation
evanescent	Upon
triumph	the
should	whole
involve	she
05	felt
TESS	gratified
OF	even
THE	though
D’URBERVILLES	such
null	a
null	limited
null	and
null	evanescent
null	triumph
null	should
null	involve
her	her
daughter’s	daughters
reputation	reputation
it	it
might	might
end	end
in	in
marriage	marriage
yet	yet
and	and
in	in
the	the
warmth	warmth
of	of
her	her
responsiveness	responsiveness
to	to
their	their
admiration	admiration
she	she
invited	invited
her	her
visitors	visitors
to	to
stay	stay
to	to
tea	tea
Their	Their
chatter	chatter
their	their
laughter	laughter
their	their
good—humoured	goodhumoured
innuendoes	innuendoes
above	above
all	all
their	their
ﬂashes	flashes
and	and
ﬂickerings	flickerings
of	of
envy	envy
revived	revived
Tesss	Tesss
spirits	spirits
also	also
and	and
as	as
the	the
evening	evening
wore	wore
on	on
she	she
caught	caught
the	the
infection	infection
of	of
their	their
excitement	excitement
and	and
grew	grew
almost	almost
gay	gay
The	The
marble	marble
hardness	hardness
left	left
her	her
face	face
she	she
moved	moved
with	with
something	something
of	of
her	her
old	old
bounding	bounding
step	step
and	and
ﬂushed	flushed
in	in
all	all
her	her
young	young
beauty	beauty
At	At
moments	moments
in	in
spite	spite
of	of
thought	thought
she	she
would	would
reply	reply
to	to
their	their
inquiries	inquiries
with	with
a	a
manner	manner
of	of
superiority	superiority
as	as
if	if
recognizing	recognizing
that	that
her	her
experiences	experiences
in	in
the	the
ﬁeld	field
of	of
courtship	courtship
had	had
indeed	indeed
been	been
slightly	slightly
enviable	enviable
But	But
so	so
far	far
was	was
she	she
from	from
being	being
in	in
the	the
words	words
of	of
Robert	Robert
South	South
‘in	in
love	love
with	with
her	her
own	own
ruin’	ruin
that	that
the	the
illusion	illusion
was	was
transient	transient
as	as
lightning	lightning
cold	cold
reason	reason
came	came
back	back
to	to
mock	mock
her	her
spasmodic	spasmodic
weakness	weakness
the	the
ghastliness	ghastliness
of	of
her	her
momentary	momentary
pride	pride
would	would
convict	convict
her	her
and	and
recall	recall
her	her
to	to
reserved	reserved
listlessness	listlessness
again	again
And	And
the	the
despondency	despondency
of	of
the	the
next	next
mornings	mornings
dawn	dawn
when	when
it	it
was	was
no	no
longer	longer
Sunday	Sunday
but	but
Monday	Monday
and	and
no	no
best	best
clothes	clothes
and	and
the	the
laughing	laughing
visitors	visitors
were	were
gone	gone
and	and
she	she
awoke	awoke
alone	alone
in	in
her	her
old	old
bed	bed
the	the
innocent	innocent
younger	younger
children	children
breathing	breathing
softly	softly
around	around
her	her
In	In
place	place
of	of
the	the
excitement	excitement
of	of
her	her
return	return
and	and
the	the
interest	interest
it	it
had	had
inspired	inspired
she	she
saw	saw
before	before
her	her
a	a
long	long
and	and
stony	stony
highway	highway
which	which
she	she
had	had
to	to
tread	tread
without	without
aid	aid
and	and
with	with
little	little
sympathy	sympathy
Her	Her
depression	depression
was	was
then	then
terrible	terrible
and	and
she	she
could	could
have	have
hidden	hidden
herself	herself
in	in
a	a
tomb	tomb
In	In
the	the
course	course
of	of
a	a
few	few
weeks	weeks
Tess	Tess
revived	revived
sufﬁciently	sufficiently
to	to
show	show
herself	herself
so	so
far	far
as	as
was	was
necessary	necessary
to	to
get	get
to	to
church	church
one	one
Sunday	Sunday
morning	morning
She	She
liked	liked
to	to
hear	hear
the	the
chanting—such	chantingsuch
as	as
it	it
was—and	wasand
the	the
old	old
Psalms	Psalms
and	and
to	to
join	join
in	in
the	the
Morning	Morning
Hymn	Hymn
That	That
innate	innate
love	love
of	of
melody	melody
which	which
she	she
had	had
inherited	inherited
from	from
her	her
balladsinging	balladsinging
mother	mother
gave	gave
the	the
simplest	simplest
music	music
a	a
power	power
over	over
her	her
which	which
could	could
wellnigh	wellnigh
drag	drag
her	her
heart	heart
out	out
of	of
her	her
how	bosom
at	at
times	times
106	null
MAIDEN	null
NO	null
MORE	null
To	To
be	be
as	as
much	much
out	out
of	of
observation	observation
as	as
possible	possible
for	for
reasons	reasons
of	of
her	her
own	own
and	and
to	to
escape	escape
the	the
gallantries	gallantries
ofthe	of
null	the
young	young
men	men
she	she
set	set
out	out
before	before
the	the
chiming	chiming
began	began
and	and
took	took
a	a
back	back
seat	seat
under	under
the	the
gallery	gallery
close	close
to	to
the	the
lumber	lumber
where	where
only	only
old	old
men	men
and	and
women	women
came	came
and	and
where	where
the	the
bier	bier
stood	stood
on	on
end	end
among	among
the	the
churchyard	churchyard
tools	tools
Parishioners	Parishioners
dropped	dropped
in	in
by	by
twos	twos
and	and
threes	threes
deposited	deposited
themselves	themselves
in	in
rows	rows
before	before
her	her
rested	rested
threequarters	threequarters
of	of
a	a
minute	minute
on	on
their	their
foreheads	foreheads
as	as
if	if
they	they
were	were
praying	praying
though	though
they	they
were	were
not	not
then	then
sat	sat
up	up
and	and
looked	looked
around	around
When	When
the	the
chants	chants
came	came
on	on
one	one
of	of
her	her
favourites	favourites
happened	happened
to	to
be	be
chosen	chosen
among	among
the	the
rest—the	restthe
old	old
double	double
chant	chant
‘Langdon’——but	Langdonbut
she	she
did	did
not	not
know	know
what	what
it	it
was	was
called	called
though	though
she	she
would	would
much	much
have	have
liked	liked
to	to
know	know
She	She
thought	thought
without	without
exactly	exactly
wording	wording
the	the
thought	thought
how	how
strange	strange
and	and
godlike	godlike
was	was
a	a
composer’s	composers
power	power
who	who
from	from
the	the
grave	grave
could	could
lead	lead
through	through
sequences	sequences
of	of
emotion	emotion
which	which
he	he
alone	alone
had	had
felt	felt
at	at
ﬁrst	first
a	a
girl	girl
like	like
her	her
who	who
had	had
never	never
heard	heard
of	of
his	his
name	name
and	and
never	never
would	would
have	have
a	a
clue	clue
to	to
his	his
personality	personality
The	The
people	people
who	who
had	had
turned	turned
their	their
heads	heads
turned	turned
them	them
again	again
as	as
the	the
service	service
proceeded	proceeded
and	and
at	at
last	last
observing	observing
her	her
they	they
whispered	whispered
to	to
each	each
other	other
She	She
knew	knew
what	what
their	their
whispers	whispers
were	were
about	about
grew	grew
sick	sick
at	at
heart	heart
and	and
felt	felt
that	that
she	she
could	could
come	come
to	to
church	church
no	no
more	more
The	The
bedroom	bedroom
which	which
she	she
had	null
shared	shared
with	with
some	some
of	of
the	the
children	children
formed	formed
her	her
retreat	retreat
more	more
continually	continually
than	than
ever	ever
Here	Here
under	under
her	her
few	few
square	square
yards	yards
of	of
thatch	thatch
she	she
watched	watched
winds	winds
and	and
snows	snows
and	and
rains	rains
gorgeous	gorgeous
sunsets	sunsets
and	and
successive	successive
moons	moons
at	at
their	their
full	full
So	So
close	close
kept	kept
she	she
that	that
at	at
length	length
almost	almost
everybody	everybody
thought	thought
she	she
had	had
gone	gone
away	away
The	The
only	only
exercise	exercise
that	that
Tess	Tess
took	took
at	at
this	this
time	time
was	was
after	after
dark	dark
and	and
it	it
was	was
then	then
when	when
out	out
in	in
the	the
woods	woods
that	that
she	she
seemed	seemed
least	least
solitary	solitary
She	She
knew	knew
how	how
to	to
hit	hit
to	to
a	a
hair’sbreadth	hairsbreadth
that	that
moment	moment
of	of
evening	evening
when	when
the	the
light	light
and	and
the	the
darkness	darkness
are	are
so	so
evenly	evenly
balanced	balanced
that	that
the	the
constraint	constraint
of	of
day	day
and	and
the	the
suspense	suspense
of	of
night	night
neutralize	neutralize
each	each
other	other
leaving	leaving
absolute	absolute
mental	mental
liberty	liberty
It	It
is	is
then	then
01	null
TESS	null
OF	null
THE	null
D’URBERVILLES	null
that	that
the	the
plight	plight
of	of
being	being
alive	alive
becomes	becomes
attenuated	attenuated
to	to
itsleast	its
null	least
possible	possible
dimensions	dimensions
She	She
had	had
no	no
fear	fear
of	of
the	the
shadows	shadows
her	her
sole	sole
idea	idea
seemed	seemed
to	to
be	be
to	to
shun	shun
mankind	mankindor
—or	null
rather	rather
that	that
cold	cold
accretion	accretion
called	called
the	the
world	world
which	which
so	so
terrible	terrible
in	in
the	the
mass	mass
is	is
so	so
unformidable	unformidable
even	even
pitiable	pitiable
in	in
its	its
units	units
On	On
these	these
lonely	lonely
hills	hills
and	and
dales	dales
her	her
quiescent	quiescent
glide	glide
was	was
of	of
a	a
piece	piece
with	with
the	the
element	element
she	she
moved	moved
in	in
Her	Her
ﬂexuous	flexuous
and	and
stealthy	stealthy
ﬁgure	figure
became	became
an	an
integral	integral
part	part
of	of
the	the
scene	scene
At	At
times	times
her	her
whimsical	whimsical
fancy	fancy
would	would
intensify	intensify
natural	natural
processes	processes
around	around
her	her
till	till
they	they
seemed	seemed
a	a
part	part
of	of
her	her
own	own
story	story
Rather	Rather
they	they
became	became
a	a
part	part
of	of
it	it
for	for
the	the
world	world
is	is
only	only
a	a
psychological	psychological
phenomenon	phenomenon
and	and
what	what
they	they
seemed	seemed
they	they
were	were
The	The
midnight	midnight
airs	airs
and	and
gusts	gusts
moaning	moaning
amongst	amongst
the	the
tightlywrapped	tightlywrapped
buds	buds
and	and
bark	bark
of	of
the	the
winter	winter
twigs	twigs
were	were
formulae	formulae
of	of
bitter	bitter
reproach	reproach
A	A
wet	wet
day	day
was	was
the	the
expression	expression
of	of
irremediable	irremediable
grief	grief
at	at
her	her
weakness	weakness
in	in
the	the
mind	mind
of	of
somé	some
vague	vague
ethical	ethical
being	being
whom	whom
she	she
could	could
not	not
class	class
deﬁnitely	definitely
as	as
the	the
God	God
of	of
her	her
childhood	childhood
and	and
could	could
not	not
comprehend	comprehend
as	as
any	any
other	other
But	But
this	this
encompassment	encompassment
of	of
her	her
own	own
characterization	characterization
based	based
on	on
shreds	shreds
of	of
convention	convention
peopled	peopled
by	by
phantoms	phantoms
and	and
voices	voices
antipathetic	antipathetic
to	to
her	her
was	was
a	a
sorry	sorry
and	and
mistaken	mistaken
creation	creation
of	of
Tess’s	Tesss
fancy—e	fancya
cloud	cloud
of	of
moral	moral
hobgoblins	hobgoblins
by	by
which	which
she	she
was	was
terriﬁed	terrified
without	without
reason	reason
It	It
was	was
they	they
that	that
were	were
out	out
of	of
harmony	harmony
with	with
the	the
actual	actual
world	world
not	not
she	she
Walking	Walking
among	among
the	the
sleeping	sleeping
birds	birds
in	in
the	the
hedges	hedges
watching	watching
the	the
skipping	skipping
rabbits	rabbits
on	on
a	a
moonlit	moonlit
warren	warren
or	or
standing	standing
under	under
a	a
pheasantladen	pheasantladen
bough	bough
she	she
looked	looked
upon	upon
herself	herself
as	as
a	a
ﬁgure	figure
of	of
Guilt	Guilt
intruding	intruding
into	into
the	the
haunts	haunts
of	of
Innocence	Innocence
But	But
all	all
the	the
while	while
she	she
was	was
making	making
a	a
distinction	distinction
where	where
there	there
was	was
no	no
difference	difference
Feeling	Feeling
herself	herself
in	in
antagonism	antagonism
shewasquiteinaccord	she
Shehadbeenmadetobreal	was
null	quite
null	in
null	accord
null	She
null	had
null	been
null	made
null	to
null	break
an	an
accepted	accepted
social	social
law	law
but	but
no	no
law	law
known	known
to	to
the	the
environment	environment
in	in
which	which
she	she
fancied	fancied
herself	herself
such	such
an	an
anomaly	anomaly
08	null
XIV	XIV
IT	It
was	was
a	a
hazy	hazy
sunrise	sunrise
in	in
August	August
The	The
denser	denser
nocturnal	nocturnal
vapours	vapours
attacked	attacked
by	by
the	the
warm	warm
beams	beams
were	were
dividing	dividing
and	and
shrinking	shrinking
into	into
isolated	isolated
ﬂeeces	fleeces
within	within
hollows	hollows
and	and
coverts	coverts
where	where
they	they
waited	waited
till	till
they	they
should	should
be	be
dried	dried
away	away
to	to
nothing	nothing
The	The
sun	sun
on	on
account	account
of	of
the	the
mist	mist
had	had
a	a
curions	curious
sentient	sentient
personal	personal
look	look
demanding	demanding
the	the
masculine	masculine
pro«	pronoun
noun	null
for	for
its	its
adequate	adequate
expression	expression
His	His
present	present
aspect	aspect
coupled	coupled
with	with
the	the
lack	lack
of	of
all	all
human	human
forms	forms
in	in
the	the
scene	scene
explained	explained
the	the
oldtime	oldtime
heliolatries	heliolatries
in	in
a	a
moment	moment
One	One
could	could
feel	feel
that	that
a	a
saner	saner
religion	religion
had	had
never	never
prevailed	prevailed
under	under
the	the
sky	sky
The	The
luminary	luminary
was	was
a	a
goldenhaired	goldenhaired
beaming	beaming
mildeyed	mildeyed
Godlike	Godlike
creature	creature
gazing	gazing
down	down
in	in
the	the
vigour	vigour
and	and
intentness	intentness
of	of
youth	youth
upon	upon
an	an
earth	earth
that	that
was	was
brimming	brimming
with	with
interest	interest
for	for
him	him
His	His
light	light
a	a
little	little
later	later
broke	broke
through	though
chinks	chinks
of	of
cottage	cottage
shutters	shutters
throwing	throwing
stripes	stripes
like	like
redhot	redhot
pokers	pokers
upon	upon
cupboards	cupboards
chests	chests
of	of
drawers	drawers
and	and
other	other
furniture	furniture
within	within
and	and
awakening	awakening
harvesters	harvesters
who	who
were	were
not	not
already	already
astir	astir
But	But
of	of
all	all
ruddy	ruddy
things	things
that	that
morning	morning
the	the
brightest	brightest
were	were
two	two
broad	broad
arms	arms
of	of
painted	painted
wood	wood
which	which
rose	rose
from	from
the	the
margin	margin
of	of
a	null
yellow	yellow
cornﬁeld	cornfield
hard	hard
by	by
Marlott	Marlott
village	village
They	They
with	with
two	two
others	others
below	below
formed	formed
the	the
revolving	revolving
Maltese	Maltese
cross	cross
of	of
the	the
reapingmachine	reapingmachine
which	which
had	had
been	been
brought	brought
to	to
the	the
ﬁeld	field
on	on
the	the
previous	previous
evening	evening
to	to
be	be
ready	ready
for	for
operations	operations
this	this
day	day
The	The
paint	paint
with	with
which	which
they	they
were	were
smeared	smeared
intensiﬁed	intensified
in	in
hue	hue
by	by
the	the
sunlight	sunlight
imparted	imparted
to	to
them	them
a	a
look	look
of	of
having	having
been	been
dipped	dipped
in	in
liquid	liquid
ﬁre	fire
The	The
ﬁeld	field
had	had
already	already
been	been
‘opened	opened
that	that
is	is
to	to
109	null
TESS	null
OF	null
THE	null
DURBERVILLES	null
say	say
a	a
lane	lane
a	a
few	few
feet	feet
wide	wide
had	had
been	been
hand—cut	handcut
through	through
the	the
wheat	wheat
along	along
the	the
whole	whole
circumference	circumference
of	of
the	the
ﬁeld	field
for	for
the	the
ﬁrst	first
passage	passage
of	of
the	the
horses	horses
and	and
machine	machine
Two	Two
groups	groups
one	one
of	of
men	men
and	and
lads	lads
the	the
other	other
of	of
women	women
had	had
come	come
down	down
the	the
lane	lane
just	just
at	at
the	the
hour	hour
when	when
the	the
shadows	shadows
of	of
the	the
eastern	eastern
hedgetop	hedgetop
struck	struck
the	the
west	west
hedge	hedge
midway	midway
so	so
that	that
the	the
heads	heads
of	of
the	the
groups	groups
were	were
enjoying	enjoying
sunrise	sunrise
while	while
their	their
feet	feet
were	were
still	still
in	in
the	the
dawn	dawn
They	They
disappeared	disappeared
from	from
the	the
lane	lane
between	between
the	the
two	two
stone	stone
posts	posts
which	which
ﬂanked	flanked
the	the
nearest	nearest
ﬁeldgate	fieldgate
Presently	Presently
there	there
arose	arose
from	from
within	within
a	a
ticking	ticking
like	like
the	the
lovemaking	lovemaking
of	of
the	the
grasshopper	grasshopper
The	The
machine	machine
had	had
begun	begun
and	and
a	a
moving	moving
concatenation	concatenation
of	of
three	three
horses	horses
and	and
the	the
aforesaid	aforesaid
long	long
rickety	rickety
machine	machine
was	was
visible	visible
over	over
the	the
gate	gate
a	a
driver	driver
sitting	sitting
upon	upon
one	one
of	of
the	the
hauling	hauling
horses	horses
and	and
an	an
attendant	attendant
on	on
the	the
seat	seat
of	of
the	the
implement	implement
Along	Along
one	one
side	side
of	of
the	the
ﬁeld	field
the	the
whole	whole
wain	wain
went	went
the	the
arms	arms
of	of
the	the
mechaniml	mechanical
reaper	reaper
revolving	revolving
slowly	slowly
till	till
it	it
passed	passed
down	down
the	the
hill	hill
quite	quite
out	out
of	of
sight	sight
In	In
a	a
minute	minute
it	it
came	came
up	up
on	on
the	the
other	other
side	side
of	of
the	the
ﬁeld	field
at	at
the	the
same	same
equable	equable
pace	pace
the	the
glistening	glistening
brass	brass
star	star
in	in
the	the
forehead	forehead
of	of
the	the
fore	fore
horse	horse
ﬁrst	first
catching	catching
the	the
eye	eye
as	as
it	it
rose	rose
into	into
view	view
over	over
the	the
stubble	stubble
then	then
the	the
bright	bright
arms	arms
and	and
then	then
the	the
whole	whole
machine	machine
The	The
narrow	narrow
lane	lane
of	of
stubble	stubble
encompassing	encompassing
the	the
ﬁeld	field
grew	grew
wider	wider
with	with
each	each
circuit	circuit
and	and
the	the
standing	standing
corn	corn
was	was
reduced	reduced
to	to
null	a
smaller	smaller
area	area
as	as
the	the
morning	morning
wore	wore
on	on
Rabbits	Rabbits
hares	hares
snakes	snakes
rats	rats
mice	mice
retreated	retreated
inwards	inwards
as	as
into	into
a	a
fastness	fastness
unaware	unaware
of	of
the	the
ephemeral	ephemeral
nature	nature
of	of
their	their
refuge	refuge
and	and
of	of
the	the
doom	doom
that	that
awaited	awaited
them	them
later	later
in	in
the	the
day	day
when	when
their	their
covert	covert
shrinking	shrinking
to	to
a	a
more	more
and	and
more	more
horrible	horrible
narrowness	narrowness
they	they
were	were
huddled	huddled
together	together
friends	friends
and	and
foes	foes
till	till
the	the
last	last
few	few
yards	yards
of	of
upright	upright
wheat	wheat
fell	fell
also	also
under	under
the	the
teeth	teeth
of	of
the	the
unerring	unerring
reaper	reaper
and	and
they	they
were	were
every	every
one	one
put	put
to	to
death	death
by	by
the	the
sticks	sticks
and	and
stones	stones
of	of
the	the
harvesters	harvesters
The	The
reapingmachine	reapingmachine
left	left
the	the
fallen	fallen
corn	corn
behind	behind
it	it
in	in
little	little
heaps	heaps
each	each
heap	heap
being	being
of	of
the	the
quantity	quantity
for	for
a	a
sheaf	sheaf
and	and
upon	upon
these	these
the	the
active	active
binders	binders
in	in
the	the
rear	rear
110	null
MAIDEN	null
NO	null
MORE	null
laid	laid
their	their
hands—mainly	handsmainly
women	women
but	but
some	some
of	of
them	them
men	men
in	in
print	print
shirts	shirts
and	and
trousers	trousers
supported	supported
round	round
their	their
waists	waists
by	by
leather	leather
straps	straps
rendering	rendering
useless	useless
the	the
two	two
buttons	buttons
behind	behind
which	which
twinkled	twinkled
and	and
bristled	bristled
with	with
sunbeams	sunbeams
at	at
every	every
movement	movement
of	of
each	each
wearer	wearer
as	as
if	if
theywereapairofeyesinthesmallofhisback	they
null	were
null	a
null	pair
null	of
null	eyes
null	in
null	the
null	small
null	of
null	his
null	back
But	But
those	those
of	of
the	the
other	other
sex	sex
were	were
the	the
most	most
in	interesting
of	of
this	this
company	company
of	of
binders	binders
by	by
reason	reason
of	of
the	the
charm	charm
which	which
is	is
acquired	acquired
by	by
woman	woman
when	when
she	she
becomes	becomes
part	part
and	and
parcel	parcel
of	of
outdoor	outdoor
nature	nature
and	and
is	is
not	not
merely	merely
an	an
object	object
set	set
down	down
therein	therein
as	as
at	at
ordinary	ordinary
times	times
A	A
ﬁeldman	fieldman
is	is
a	a
personality	personality
aﬁeld	afield
a	a
ﬁeldwoman	fieldwoman
is	is
a	a
portion	portion
of	of
the	the
ﬁeld	field
she	she
has	had
somehow	somehow
lost	lost
her	her
own	own
margin	margin
imbibed	imbibed
the	the
essence	essence
of	of
her	her
surrounding	surrounding
and	and
assimilated	assimilated
herself	herself
with	with
it	it
The	The
women—or	womenor
rather	rather
girls	girls
for	for
they	they
were	were
mostly	mostly
young—wore	youngwore
drawn	drawn
cotton	cotton
bonnets	bonnets
with	with
great	great
ﬂapping	flapping
curtains	curtains
to	to
keep	keep
off	off
the	the
sun	sun
and	and
gloves	gloves
to	to
prevent	prevent
their	their
hands	hands
being	being
wounded	wounded
by	by
the	the
stubble	stubble
There	There
was	was
one	one
wearing	wearing
a	a
pale	pale
pink	pink
jacket	jacket
another	another
in	in
a	a
creamcoloured	creamcoloured
tightsleeved	tightsleeved
gown	gown
another	another
in	in
a	a
petticoat	petticoat
as	as
red	red
as	as
the	the
arms	arms
of	of
the	the
reapingmachine	reapingmachine
and	and
others	others
older	older
in	in
the	the
brownrough	brownrough
‘wropper	wropper
or	or
overall——the	overallthe
oldestablished	oldestablished
and	and
most	most
appropriate	appropriate
dress	dress
of	of
the	the
ﬁeldwoman	fieldwoman
which	which
the	the
young	young
ones	ones
were	were
abandoning	abandoning
This	This
morning	morning
the	the
eye	eye
returns	returns
involuntarily	involuntarily
to	to
the	the
girl	girl
in	in
the	the
pink	pink
cotton	cotton
jacket	jacket
she	she
being	being
the	the
most	most
ﬂexuous	flexuous
and	and
ﬁnely	finelydrawn
drawn	figure
ﬁgure	null
of	of
them	them
all	all
But	But
her	her
bonnet	bonnet
is	is
pulled	pulled
so	so
far	far
over	over
her	her
brow	brow
that	that
none	none
of	of
her	her
face	face
is	is
disclosed	disclosed
while	while
she	she
binds	binds
though	though
her	her
complexion	complexion
may	may
be	be
guessed	guessed
from	from
a	a
stray	stray
twine	twine
or	or
two	two
of	of
dark	dark
brown	brown
hair	hair
which	which
extends	extends
below	below
the	the
curtain	curtain
of	of
her	her
bonnet	bonnet
Perhaps	Perhaps
one	one
reason	reason
why	why
she	she
seduces	seduces
casual	casual
attention	attention
is	is
that	that
she	she
never	never
courts	courts
it	it
though	though
the	the
other	other
women	women
often	often
gaze	gaze
around	around
them	them
Her	Her
binding	binding
proceeds	proceeds
with	with
clocklike	clocklike
monotony	monotony
From	From
the	the
sheaf	sheaf
last	last
ﬁnished	finished
she	she
draws	draws
a	a
handful	handful
of	of
ears	ears
patting	patting
their	their
tips	tips
with	with
her	her
left	left
palm	palm
to	to
bring	bring
th	them
even	even
Then	Then
stooping	stooping
low	low
she	she
moves	moves
forward	forward
It	null
TESS	null
OF	null
THE	null
D’URBERVILLES	null
gathering	gathering
the	the
corn	corn
with	with
both	both
hands	hands
against	against
her	her
knees	knees
and	and
pushing	pushing
her	her
left	left
gloved	gloved
hand	hand
under	under
the	the
bundle	bundle
to	to
meet	meet
the	the
right	right
on	on
the	the
other	other
side	side
holding	holding
the	the
corn	corn
in	in
an	an
embrace	embrace
like	like
that	that
of	of
a	a
lover	lover
She	She
brings	brings
the	the
ends	ends
of	of
the	the
bond	bond
together	together
and	and
kneels	kneels
on	on
the	the
sheaf	sheaf
while	while
she	she
ties	ties
it	it
beating	beating
back	back
her	her
skirts	skirts
now	now
and	and
then	then
when	when
lifted	lifted
by	by
the	the
breeze	breeze
A	A
bit	bit
of	of
her	her
naked	naked
arm	arm
is	is
visible	visible
between	between
the	the
buff	buff
leather	leather
of	of
the	the
gauntlet	gauntlet
and	and
the	the
sleeve	sleeve
of	of
her	her
gown	gown
and	and
as	as
the	the
day	day
wears	wears
on	on
its	its
feminine	feminine
smoothness	smoothness
becomes	becomes
scariﬁed	scarified
by	by
the	the
stubble	stubble
and	and
bleeds	bleeds
Atintervalsshestandsuptorestandtoretieher	At
null	intervals
null	she
null	stands
null	up
null	to
null	rest
null	and
null	to
null	retie
null	her
disarranged	disarranged
apron	apron
or	or
to	to
pull	pull
her	her
bonnet	bonnet
straight	straight
Thenonecanseetheovalfaeeofahandsorneyoung	Then
null	one
null	can
null	see
null	the
null	oval
null	face
null	of
null	a
null	handsome
null	young
woman	woman
with	with
deep	deep
dark	dark
eyes	eyes
and	and
long	long
heavy	heavy
clinging	clinging
tressee	tresses
which	which
semi	seem
to	to
clasp	clasp
in	in
a	a
beseeching	beseeching
way	way
anything	anything
they	they
fall	fall
against	against
The	The
cheeks	cheeks
are	are
paler	paler
the	the
teethmoreregulartheredlipstbinnerthanisusual	teeth
null	more
null	regular
null	the
null	red
null	lips
null	thinner
null	than
null	is
null	usual
in	in
a	a
countrybred	countrybred
girl	girl
It	It
is	is
Tess	Tess
Durbeyﬁeld	Durbeyfield
otherwise	otherwise
dUrberville	dUrberville
somewhat	somewhat
changed—the	changedthe
same	same
but	but
not	not
the	the
same	same
at	at
the	the
present	present
stage	stage
of	of
her	her
existence	existence
living	living
as	as
a	a
stranger	stranger
and	and
an	an
alien	alien
here	here
though	though
it	it
was	was
no	no
strange	strange
land	land
that	that
she	she
was	was
in	in
After	After
a	a
long	long
seclusion	seclusion
she	she
had	had
come	come
to	to
a	a
resolve	resolve
to	to
undertake	undertake
outdoor	outdoor
work	work
in	in
her	her
native	native
village	village
the	the
busiest	busiest
season	season
of	of
the	the
year	year
in	in
the	the
agricultural	agricultural
world	world
having	having
arrived	arrived
and	and
nothing	nothing
that	that
she	she
